Question,Answers,Comment,Instructions,Render as
万,まん,万,ten thousand,
丈,じょう,丈,length,
上,じょう,上,up,
下,か,下,below,
不,ふ,不,non-,
世,せ,世,world,
両,りょう,両,both,
中,ちゅう,中,middle,
主,しゅ,主,master,
乗,じょう,乗,ride,
了,りょう,了,finish,
予,よ,予,in advance,
争,そう,争,conflict,
事,じ,事,thing,
二,に,二,two,
亡,ぼう,亡,deceased,
交,こう,交,mix,
京,きょう,京,capital,
人,じん,人,person,
今,こん,今,now,
介,かい,介,jammed in,
他,た,他,other,
付,ふ,付,attach,
代,だい,代,substitute,
令,れい,令,orders,
以,い,以,by means of,
仰,ぎょう,仰,face-up,
件,けん,件,affair,
任,にん,任,responsibility,
企,き,企,plan,
休,きゅう,休,rest,
会,かい,会,association,
伝,でん,伝,transmit,
似,じ,似,becoming,
位,い,位,rank,
住,じゅう,住,dwelling,
体,たい,体,body,
余,よ,余,leave over,
作,さく,作,make,
使,し,使,use,
供,きょう,供,offer,
価,か,価,value,
便,べん,便,convenience,
係,けい,係,person in charge,
保,ほ,保,preserve,
信,しん,信,trust,
修,しゅう,修,discipline,
俳,はい,俳,haiku,
個,こ,個,individual,
倒,とう,倒,overthrow,
候,こう,候,climate,
借,しゃく,借,borrow,
値,ち,値,value,
偉,い,偉,admirable,
停,てい,停,halt,
健,けん,健,healthy,
偶,ぐう,偶,accidentally,
働,どう,働,work,
僚,りょう,僚,colleague,
儀,ぎ,儀,ceremony,
優,ゆう,優,superior,
先,せん,先,previous,
光,こう,光,ray,
克,こく,克,overcome,
免,めん,免,excuse,
入,にゅう,入,enter,
全,ぜん,全,whole,
八,はち,八,eight,
公,こう,公,public,
共,きょう,共,together,
具,ぐ,具,tool,
典,てん,典,code,
内,ない,内,inside,
冒,ぼう,冒,risk,
冗,じょう,冗,superfluous,
冷,れい,冷,cool,
処,しょ,処,dispose,
出,しゅつ,出,exit,
分,ぶん,分,part,
切,せつ,切,cut,
刑,けい,刑,punish,
列,れつ,列,row,
初,しょ,初,first,
判,はん,判,judge,
別,べつ,別,separate,
利,り,利,profit,
到,とう,到,arrival,
制,せい,制,control,
刺,し,刺,thorn,
刻,こく,刻,engrave,
前,ぜん,前,in front,
割,かつ,割,divide,
劇,げき,劇,drama,
力,りょう,力,power,
功,こう,功,achievement,
加,か,加,add,
助,じょ,助,help,
努,ど,努,toil,
労,ろう,労,labour,
効,こう,効,effect,
動,どう,動,move,
務,む,務,duty,
勝,しょう,勝,win,
勢,せい,勢,power,
化,か,化,change,
医,い,医,doctor,
十,じゅう,十,ten,
午,ご,午,noon,
半,はん,半,half,
卓,たく,卓,eminent,
協,きょう,協,cooperation,
単,たん,単,simple,
博,はく,博,Dr.,
厄,やく,厄,unlucky,
原,げん,原,field,
去,きょ,去,leave,
