Question,Answers,Comment,Instructions,Render as
目標,もくひょう,goal,,
所有,しょゆう,possessions,,
現在,げんざい,present(day),,
解説,かいせつ,commentary,,
速度,そくど,speed,,
紹介,しょうかい,introduction,,
申し出,もうしで,proposal,,
依頼,いらい,request,,
承諾,しょうだく,acceptance,,
発言,はつげん,statement,,
共感,きょうか,empathy,,
嗜好,いこう,preferences,,
対象,たいしょう,target(object),,
挙げる,あげる,to rise (tr),,
併せて,あわせて,in addition(=合う),,
響き,ひびき,echo,,
好ましい,このましい,likeable,,
参考,さんこう,reference,,
各国語,かっこくご,every langauge,,
副詞,ふくし,Adverb,,
貧乏,びんぼう,poor,,
指す,さす,to point,,
丁寧体,ていねいたい,polite style,,
身近な例,みぢかなれい,familiar example,,
後文,こうぶん,following sentence,,
結果,けっか,result,,
結論,けつろん,conclusion,,
繋ぐ,つなぐ,to connect,,
添える,そえる,to accompany(with),,
文末,ぶんまつ,end of sentence,,
日常的,にちじょうてき,day-to-day,,
既に,すでに,already,,
述べる,のべる,to tell,,
断る,ことわる,to refuse,,
誤用,ごよう,misuse,,
含める,ふくめる,to include,,
存在,そんざい,existance,,
語句,ごく,words and phrases,,
発展,はってん,development(situation),,
名乗る,なのる,to introduce oneself(as),,
演じる,えんじる,to play (a role),,
所在,しょざい,location,,
土産屋,みやげや,souvenir shop,,
項目,こうもく,entry(in a dictionary),,
植物,しょくぶつ,plants,,
主体,しゅたい,subject,,
示す,しめす,to point out,,
対比,たいひ,contrast,,
片方,かたほう,one (of a pair),,
広げる,ひろげる,to spread,,
撮る,とる,to take(photo),,
硬貨,こうか,coin,,
貼る,はる,to attach=張る,,
見回す,みまわす,to look around,,
代入,だいにゅう,assignment,,
名称,めいしょう,name(title),,
助数詞,じょすうし,counter words,,
期間,きかん,period,,
授ける,さずける,to give,,
標準語,ひょうじゅんご,standard lang,,
硬い,かたい,solid,,
比べる,くらべる,to compare,,
植える,うえる,to plant(tr),,
演説,えんぜつ,public speech,,
既設,きせつ,existing,,
戦果,せんか,war results,,
乏しい,とぼしい,poor(results),,
副作用,ふくさよう,Adverse effects,,
嗜眠,しみん,deep sleep,,
併用,へいよう,combiled use,,
所属,しょぞく,belonging to(group),,
スラスラ,すらすら,readily,,
実物,じつぶつ,real thing,,
