Question,Answers,Comment,Instructions,Render as
火,"か,fire",火,,
大,"だい,large",大,,
事,"じ,thing",事,,
映,"えい,reflect",映,,
国,"こく,country",国,,
校,"こう,school",校,,
屋,"おく,roof",屋,,
生,"せい,life",生,,
八,"はち,eight",八,,
間,"かん,interval",間,,
曜,"よう,day of the week",曜,,
車,"しゃ,car",車,,
外,"がい,outside",外,,
月,"げつ,month",月,,
名,"めい,name",名,,
仕,"し,do",仕,,
英,"えい,England",英,,
三,"さん,three",三,,
木,"もく,tree",木,,
先,"せん,previous",先,,
水,"すい,water",水,,
時,"じ,time",時,,
七,"しち,seven",七,,
今,"こん,now",今,,
天,"てん,heaven",天,,
達,"たつ,attain",達,,
女,"じょ,woman",女,,
前,"ぜん,in front",前,,
来,"らい,come",来,,
学,"がく,study",学,,
画,"が,brush-stroke",画,,
週,"しゅう,week",週,,
土,"ど,soil",土,,
社,"しゃ,company",社,,
九,"きゅう,nine",九,,
語,"ご,language",語,,
電,"でん,electricity",電,,
子,"し,child",子,,
元,"げん,origin",元,,
五,"ご,five",五,,
午,"ご,noon",午,,
会,"かい,association",会,,
六,"ろく,six",六,,
金,"きん,gold",金,,
円,"えん,round",円,,
気,"き,feeling",気,,
日,"にち,day",日,,
年,"ねん,year",年,,
分,"ぶん,part",分,,
葉,"よう,leaf",葉,,
火大事映,かだいじえい,火大事映,,
国校屋生,こくこうおくせい,国校屋生,,
八間曜車,はちかんようしゃ,八間曜車,,
外月名仕,がいげつめいし,外月名仕,,
英三木先,えいさんもくせん,英三木先,,
水時七今,すいじしちこん,水時七今,,
天達女前,てんたつじょぜん,天達女前,,
来学画週,らいがくがしゅう,来学画週,,
土社九語,どしゃきゅうご,土社九語,,
電子元五,でんしげんご,電子元五,,
午会六金,ごかいろくきん,午会六金,,
円気日年,えんきにちねん,円気日年,,
分葉,ぶんよう,分葉,,
十,"じゅう,ten",十,,
後,"ご,behind",後,,
言,"げん,say",言,,
徒,"と,junior",徒,,
話,"わ,talk",話,,
男,"だん,male",男,,
四,"し,four",四,,
部,"ぶ,part",部,,
二,"に,two",二,,
友,"ゆう,friend",友,,
一,"いち,one",一,,
十後言徒,じゅうごげんと,十後言徒,,
話男四部,わだんしぶ,話男四部,,
二友一,にゆういち,二友一,,
