Question,Answers,Comment,Instructions,Render as
木,"もく,tree",木,,
金,"きん,gold",金,,
三,"さん,three",三,,
語,"ご,language",語,,
二,"に,two",二,,
子,"し,child",子,,
月,"げつ,month",月,,
土,"ど,soil",土,,
週,"しゅう,week",週,,
気,"き,feeling",気,,
時,"じ,time",時,,
電,"でん,electricity",電,,
会,"かい,association",会,,
映,"えい,reflect",映,,
画,"が,brush-stroke",画,,
校,"こう,school",校,,
生,"せい,life",生,,
四,"し,four",四,,
水,"すい,water",水,,
言,"げん,say",言,,
事,"じ,thing",事,,
火,"か,fire",火,,
一,"いち,one",一,,
分,"ぶん,part",分,,
社,"しゃ,company",社,,
徒,"と,junior",徒,,
屋,"おく,roof",屋,,
元,"げん,origin",元,,
男,"だん,male",男,,
八,"はち,eight",八,,
葉,"よう,leaf",葉,,
五,"ご,five",五,,
十,"じゅう,ten",十,,
九,"きゅう,nine",九,,
来,"らい,come",来,,
友,"ゆう,friend",友,,
名,"めい,name",名,,
国,"こく,country",国,,
大,"だい,large",大,,
女,"じょ,woman",女,,
年,"ねん,year",年,,
六,"ろく,six",六,,
午,"ご,noon",午,,
外,"がい,outside",外,,
車,"しゃ,car",車,,
部,"ぶ,part",部,,
今,"こん,now",今,,
仕,"し,do",仕,,
間,"かん,interval",間,,
英,"えい,England",英,,
学,"がく,study",学,,
天,"てん,heaven",天,,
先,"せん,previous",先,,
達,"たつ,attain",達,,
後,"ご,behind",後,,
前,"ぜん,in front",前,,
曜,"よう,day of the week",曜,,
話,"わ,talk",話,,
日,"にち,day",日,,
円,"えん,round",円,,
七,"しち,seven",七,,
