Question,Answers,Comment,Instructions,Render as
屋,おく,屋,roof,
仕,し,仕,do,
事,じ,事,thing,
三,さん,三,three,
八,はち,八,eight,
元,げん,元,origin,
語,ご,語,language,
画,が,画,brush-stroke,
社,しゃ,社,company,
女,じょ,女,woman,
金,きん,金,gold,
車,しゃ,車,car,
週,しゅう,週,week,
二,に,二,two,
分,ぶん,分,part,
五,ご,五,five,
名,めい,名,name,
男,だん,男,male,
徒,と,徒,junior,
間,かん,間,interval,
後,ご,後,behind,
言,げん,言,say,
水,すい,水,water,
木,もく,木,tree,
国,こく,国,country,
部,ぶ,部,part,
学,がく,学,study,
校,こう,校,school,
時,じ,時,time,
七,しち,七,seven,
九,きゅう,九,nine,
午,ご,午,noon,
四,し,四,four,
気,き,気,feeling,
先,せん,先,previous,
達,たつ,達,attain,
大,だい,大,large,
前,ぜん,前,in front,
今,こん,今,now,
外,がい,外,outside,
月,げつ,月,month,
年,ねん,年,year,
映,えい,映,reflect,
葉,よう,葉,leaf,
話,わ,話,talk,
一,いち,一,one,
円,えん,円,round,
子,し,子,child,
来,らい,来,come,
生,せい,生,life,
屋仕事三,おくしじさん,屋仕事三,,
八元語画,はちげんごが,八元語画,,
社女金車,しゃじょきんしゃ,社女金車,,
週二分五,しゅうにぶんご,週二分五,,
名男徒間,めいだんとかん,名男徒間,,
後言水木,ごげんすいもく,後言水木,,
国部学校,こくぶがくこう,国部学校,,
時七九午,じしちきゅうご,時七九午,,
四気先達,しきせんたつ,四気先達,,
大前今外,だいぜんこんがい,大前今外,,
月年映葉,げつねんえいよう,月年映葉,,
話一円子,わいちえんし,話一円子,,
来生,らいせい,来生,,
土,ど,土,soil,
六,ろく,六,six,
電,でん,電,electricity,
曜,よう,曜,day of the week,
十,じゅう,十,ten,
会,かい,会,association,
日,にち,日,day,
英,えい,英,England,
友,ゆう,友,friend,
天,てん,天,heaven,
火,か,火,fire,
土六電曜,どろくでんよう,土六電曜,,
十会日英,じゅうかいにちえい,十会日英,,
友天火,ゆうてんか,友天火,,
会気木語,かいきもくご,会気木語,,
五一英話,ごいちえいわ,五一英話,,
三曜言十,さんようげんじゅう,三曜言十,,
前九仕分,ぜんきゅうしぶん,前九仕分,,
週天達生,しゅうてんたつせい,週天達生,,
水社午大,すいしゃごだい,水社午大,,
男名八部,だんめいはちぶ,男名八部,,
二火電六,にかでんろく,二火電六,,
元年徒友,げんねんとゆう,元年徒友,,
車円事月,しゃえんじげつ,車円事月,,
画校間今,がこうかんこん,画校間今,,
後国葉土,ごこくようど,後国葉土,,
七屋,しちおく,七屋,,
女学子時,じょがくしじ,女学子時,,
来映日外,らいえいにちがい,来映日外,,
四先金,しせんきん,四先金,,
