Question,Answers,Comment,Instructions,Render as
二,に,二,,
午,ご,午,,
天,てん,天,,
気,き,気,,
学,がく,学,,
外,がい,外,,
校,こう,校,,
四,し,四,,
話,わ,話,,
土,ど,土,,
七,しち,七,,
英,えい,英,,
後,ご,後,,
語,ご,語,,
六,ろく,六,,
火,か,火,,
間,かん,間,,
十,じゅう,十,,
今,こん,今,,
徒,と,徒,,
男,だん,男,,
八,はち,八,,
円,えん,円,,
前,ぜん,前,,
週,しゅう,週,,
友,ゆう,友,,
達,たつ,達,,
曜,よう,曜,,
車,しゃ,車,,
来,らい,来,,
分,ぶん,分,,
仕,し,仕,,
年,ねん,年,,
事,じ,事,,
月,げつ,月,,
名,めい,名,,
映,えい,映,,
会,かい,会,,
生,せい,生,,
社,しゃ,社,,
水,すい,水,,
時,じ,時,,
国,こく,国,,
一,いち,一,,
屋,おく,屋,,
子,こ,子,,
葉,は,葉,,
画,が,画,,
女,じょ,女,,
大,だい,大,,
二午天気,にごてんき,二午天気,,
学外校四,がくがいこうし,学外校四,,
話土七英,わどしちえい,話土七英,,
後語六火,ごごろくか,後語六火,,
間十今徒,かんじゅうこんと,間十今徒,,
男八円前,だんはちえんぜん,男八円前,,
週友達曜,しゅうゆうたつよう,週友達曜,,
車来分仕,しゃらいぶんし,車来分仕,,
年事月名,ねんじげつめい,年事月名,,
映会生社,えいかいせいしゃ,映会生社,,
水時国一,すいじこくいち,水時国一,,
屋子葉画,おくこはが,屋子葉画,,
女大,じょだい,女大,,
言,こと,言,,
元,げん,元,,
木,もく,木,,
九,きゅう,九,,
部,ぶ,部,,
五,ご,五,,
日,にち,日,,
三,さん,三,,
先,せん,先,,
金,きん,金,,
電,でん,電,,
言元木九,ことげんもくきゅう,言元木九,,
部五日三,ぶごにちさん,部五日三,,
先金電,せんきんでん,先金電,,
