Question,Answers,Comment,Instructions,Render as
伝,でん,伝,transmit,
郵,ゆう,郵,mail,
紙,し,紙,paper,
二,に,二,two,
売,ばい,売,sell,
水,すい,水,water,
聞,ぶん,聞,hear,
交,こう,交,mix,
用,よう,用,use,
符,ふ,符,token,
趣,しゅ,趣,gist,
合,ごう,合,fit,
朝,ちょう,朝,morning,
女,じょ,女,woman,
団,だん,団,group,
会,かい,会,association,
明,めい,明,bright,
下,か,下,below,
銀,ぎん,銀,silver,
大,だい,大,large,
中,ちゅう,中,middle,
使,し,使,use,
員,いん,員,member,
休,きゅう,休,rest,
道,どう,道,road,
危,き,危,dangerous,
運,うん,運,carry,
外,がい,外,outside,
組,そ,組,association,
特,とく,特,special,
験,けん,験,test,
出,しゅつ,出,exit,
風,ふう,風,wind,
背,はい,背,back,
間,かん,間,interval,
勉,べん,勉,exertion,
紹,しょう,紹,introduce,
毎,まい,毎,every,
将,しょう,将,leader,
部,ぶ,部,part,
彼,かれ,彼,he,
家,か,家,house,
上,じょう,上,up,
入,にゅう,入,enter,
族,ぞく,族,tribe,
主,しゅ,主,master,
長,ちょう,長,long,
片,へん,片,one-sided,
輪,りん,輪,wheel,
消,しょう,消,extinguish,
物,ぶつ,物,thing,
布,ふ,布,linen,
事,じ,事,thing,
付,ふ,付,attach,
鳥,ちょう,鳥,bird,
飯,はん,飯,meal,
歴,れき,歴,curriculum,
生,せい,生,life,
険,けん,険,steep,
指,し,指,finger,
普,ふ,普,universal,
介,かい,介,jammed in,
仕,し,仕,do,
字,じ,字,letter,
花,か,花,flower,
袋,たい,袋,sack,
震,しん,震,quake,
先,せん,先,previous,
堂,どう,堂,public chamber,
肉,にく,肉,meat,
活,かつ,活,active,
全,ぜん,全,whole,
牛,きゅう,牛,cow,
親,しん,親,parent,
地,ちち,地,ground,
卒,そつ,卒,graduate,
絡,らく,絡,entwine,
発,はつ,発,departure,
書,しょ,書,write,
所,しょ,所,place,
自,じ,自,oneself,
飛,ひ,飛,fly,
以,い,以,by means of,
連,れん,連,take along,
去,きょ,去,leave,
昼,ちゅう,昼,daytime,
火,か,火,fire,
味,み,味,flavor,
試,し,試,test,
単,たん,単,simple,
理,り,理,reason,
階,かい,階,floor,
数,すう,数,number,
弟,てい,弟,younger brother,
楽,がく,楽,pleasure,
質,しつ,質,quality,
興,こう,興,entertain,
文,ぶん,文,writing,
時,じ,時,time,
行,こう,行,go,
豚,とん,豚,pork,
業,ぎょう,業,business,
名,めい,名,name,
病,びょう,病,sick,
夕,ゆう,夕,evening,
有,ゆう,有,have,
究,きゅう,究,research,
気,き,気,feeling,
方,ほう,方,direction,
人,じん,人,person,
高,こう,高,tall,
学,がく,学,study,
車,しゃ,車,car,
空,くう,空,sky,
局,きょく,局,office,
色,しき,色,color,
真,しん,真,true,
代,だい,代,substitute,
食,しょく,食,eat,
漫,まん,漫,cartoon,
室,しつ,室,room,
手,しゅ,手,hand,
息,そく,息,breath,
西,せい,西,west,
曜,よう,曜,day of the week,
場,じょう,場,place,
漢,かん,漢,China,
強,きょう,強,strong,
来,らい,来,come,
動,どう,動,move,
課,か,課,section,
輩,はい,輩,comrade,
便,べん,便,convenience,
束,そく,束,bundle,
十,じゅう,十,ten,
具,ぐ,具,tool,
社,しゃ,社,company,
今,こん,今,now,
映,えい,映,reflect,
問,もん,問,question,
見,けん,見,see,
屋,おく,屋,roof,
週,しゅう,週,week,
着,ちゃく,着,wear,
台,だい,台,pedestal,
界,かい,界,world,
洋,よう,洋,ocean,
館,かん,館,public building,
品,ひん,品,article,
小,しょう,小,small,
服,ふく,服,clothes,
復,ふく,復,again,
切,せつ,切,cut,
安,あん,安,cheap,
習,しゅう,習,learn,
子,し,子,child,
院,いん,院,institution,
分,ぶん,分,part,
番,ばん,番,one's turn,
別,べつ,別,separate,
口,く,口,mouth,
料,りょう,料,fee,
医,い,医,doctor,
注,ちゅう,注,pour,
音,おん,音,sound,
教,きょう,教,teach,
兄,けい,兄,older brother,
計,けい,計,measure,
図,ず,図,diagram,
心,しん,心,heart,
工,こう,工,craft,
夜,や,夜,night,
障,しょう,障,hurt,
記,き,記,write down,
通,つう,通,pass through,
意,い,意,idea,
世,せ,世,world,
説,せつ,説,theory,
旅,りょ,旅,trip,
写,しゃ,写,copy,
建,けん,建,build,
店,てん,店,shop,
茶,ちゃ,茶,tea,
新,しん,新,new,
約,やく,約,promise,
校,こう,校,school,
園,えん,園,garden,
者,しゃ,者,someone,
野,や,野,field,
夏,か,夏,summer,
化,か,化,change,
日,にち,日,day,
史,し,史,history,
急,きゅう,急,hurry,
題,だい,題,topic,
研,けん,研,sharpen,
作,さく,作,make,
簡,かん,簡,simplicity,
画,が,画,brush-stroke,
一,いち,一,one,
転,てん,転,revolve,
度,ど,度,degrees,
月,げつ,月,month,
