愛情,あいじょう,love
信頼,しんらい,reliance
心理,しんり,mentality
人類,じんるい,mankind
数字,すうじ,numeral
頭痛,ずつう,headache
禁煙,きんえん,abstaining from smoking
性格,せいかく,character
正確,せいかく,accurate
制限,せいげん,restriction
生産,せいさん,production
正式,せいしき,due form
精神,せいしん,mind
成人,せいじん,adult
成長,せいちょう,growth
制度,せいど,system
青年,せいねん,youth
生物,せいぶつ,living thing
生命,せいめい,life
責任,せきにん,duty
世間,せけん,world
絶対,ぜったい,absolute
世話,せわ,to look after
お嬢さん,おじょうさん,daughter
全員,ぜんいん,all members (unanimity)
全国,ぜんこく,country-wide
前者,ぜんしゃ,the former
選手,せんしゅ,player (in game)
前進,ぜんしん,advance
全然,ぜんぜん,wholly
全体,ぜんたい,whole
増加,ぞうか,increase
相続,そうぞく,succession
相談,そうだん,consultation
相当,そうとう,suitable
速度,そくど,speed
存在,そんざい,existence
体育,たいいく,physical education
大会,たいかい,convention
代金,だいきん,price
大使,たいし,ambassador
大戦,たいせん,great war
代表,だいひょう,representative
大変,たいへん,awful
太陽,たいよう,sun
代理,だいり,representation
鉛筆,えんぴつ,pencil
多少,たしょう,more or less
立ち上がる,たちあがる,to stand up
立場,たちば,standpoint
他人,たにん,another person
単位,たんい,unit
単語,たんご,word
地位,ちい,(social) position
地下,ちか,basement
地球,ちきゅう,the earth
遅刻,ちこく,lateness
知事,ちじ,prefectural governor
知識,ちしき,knowledge
父親,ちちおや,father
知能,ちのう,intelligence
地方,ちほう,area
中古,ちゅうこ,used
中止,ちゅうし,suspension
昼食,ちゅうしょく,lunch
中心,ちゅうしん,center
注目,ちゅうもく,notice
注文,ちゅうもん,order
長期,ちょうき,long time period
調子,ちょうし,tune
頂上,ちょうじょう,top
通過,つうか,passage through
通学,つうがく,commuting to school
通行,つうこう,passage
通信,つうしん,correspondence
付き合い,つきあい,association
次々,つぎつぎ,in succession
出会い,であい,meeting
出会う,であう,to meet by chance
定期,ていき,fixed term
程度,ていど,degree
出来事,できごと,incident
適切,てきせつ,pertinent
適度,てきど,moderate
適用,てきよう,applying
手品,てじな,sleight of hand
手伝い,てつだい,help
手間,てま,time
天候,てんこう,weather
天然,てんねん,nature
同一,どういつ,identity
当時,とうじ,at that time
同時,どうじ,at the same time
到着,とうちゃく,arrival
同様,どうよう,identical
道路,どうろ,road
通り過ぎる,とおりすぎる,to pass
都会,とかい,city
得意,とくい,pride
登山,とざん,mountain-climbing
都市,とし,town
図書,としょ,books
年寄,としより,old people
土地,とち,plot of land
突然,とつぜん,abruptly
飛び出す,とびだす,to jump out
取り上げる,とりあげる,to take up
努力,どりょく,great effort
内容,ないよう,subject
似合う,にあう,to suit
苦手,にがて,poor (at)
日常,にちじょう,ordinary
日光,にっこう,sunlight
入院,にゅういん,to hospitalise
入場,にゅうじょう,entrance
値段,ねだん,price
熱心,ねっしん,zeal
直接,ちょくせつ,direct
年代,ねんだい,age
能力,のうりょく,ability
配達,はいたつ,delivery
破産,はさん,(personal) bankruptcy
発見,はっけん,discovery
発行,はっこう,issue (publications)
発車,はっしゃ,departure of a vehicle
発達,はったつ,development
発表,はっぴょう,announcement
発明,はつめい,invention
話し合う,はなしあう,to discuss
母親,ははおや,mother
場面,ばめん,scene
犯罪,はんざい,crime
判断,はんだん,judgement
犯人,はんにん,offender
飛行,ひこう,aviation
非常,ひじょう,emergency
美人,びじん,beautiful person (woman)
日付,ひづけ,date
必死,ひっし,inevitable death
否定,ひてい,negation
一言,ひとこと,single word
人込み,ひとごみ,crowd of people
費用,ひよう,cost
表現,ひょうげん,expression
表情,ひょうじょう,facial expression
平等,びょうどう,equality (a)
表面,ひょうめん,surface
不安,ふあん,anxiety
風景,ふうけい,scenery
夫婦,ふうふ,married couple
不幸,ふこう,unhappiness
不思議,ふしぎ,mystery
不自由,ふじゆう,discomfort
夫人,ふじん,wife
婦人,ふじん,woman
不正,ふせい,injustice
不足,ふそく,insufficiency
舞台,ぶたい,stage (theatre)
物質,ぶっしつ,material
物理,ぶつり,physics
玄関,げんかん,entranceway
不平,ふへい,complaint
不満,ふまん,dissatisfaction
不利,ふり,disadvantage
文明,ぶんめい,civilization
平和,へいわ,peace
変化,へんか,change
変更,へんこう,change
灰皿,はいざら,ashtray
方向,ほうこう,direction
報告,ほうこく,report
放送,ほうそう,broadcast
方法,ほうほう,method
訪問,ほうもん,call
歩道,ほどう,footpath
本当,ほんと,truth
本物,ほんもの,genuine article
迷子,まいご,lost child
真面目,まじめ,diligent
洗濯,せんたく,washing
間違い,まちがい,mistake
真っ赤,まっか,deep red
真っ直ぐ,まっすぐ,straight (ahead)
真似,まね,mimicry
満足,まんぞく,satisfaction
見送り,みおくり,seeing one off
味方,みかた,friend
見事,みごと,splendid
見舞い,みまい,enquiry
土産,みやげ,present
明後日,みょうごにち,day after tomorrow
未来,みらい,distant future 
夢中,むちゅう,daze
明確,めいかく,clear up
面倒,めんどう,trouble
申し込む,もうしこむ,to apply for
文字,もじ,letter (of alphabet)
持ち上げる,もちあげる,to raise
物音,ものおと,sounds
物語,ものがたり,tale
物事,ものごと,things
役割,やくわり,part
優勝,ゆうしょう,overall victory
友情,ゆうじょう,friendship
有能,ゆうのう,able
有利,ゆうり,advantageous
夜明け,よあけ,dawn
容易,ようい,easy
陽気,ようき,season
要求,ようきゅう,request
用心,ようじん,care
様子,ようす,aspect
要点,ようてん,gist
予期,よき,expectation
横切る,よこぎる,to cross (e.g. arms)
夜中,よなか,midnight
世の中,よのなか,society
予報,よほう,forecast
理解,りかい,understanding
利口,りこう,clever
理想,りそう,ideal
留学,りゅうがく,studying abroad
流行,りゅうこう,fashionable
料金,りょうきん,fee
冷静,れいせい,calm
列車,れっしゃ,train (ordinary)
連想,れんそう,association (of ideas)
連続,れんぞく,serial
老人,ろうじん,the aged
労働,ろうどう,manual labor
論争,ろんそう,controversy
論文,ろんぶん,thesis
話題,わだい,topic
悪口,わるくち,abuse
大勢,おおぜい,crowd of people
丈夫,じょうぶ,healthy
万年筆,まんねんひつ,fountain pen
以内,いない,within
受付,うけつけ,receipt
お菓子,おかし,confections
お宅,おたく,(polite) your house
お見舞い,おみまい,visiting someone who is ill
お土産,おみやげ,souvenir
会議,かいぎ,meeting
会議室,かいぎしつ,meeting room
黒板,こくばん,blackboard
科学,かがく,science
高価,こうか,high price
家内,かない,housewife
騒音,そうおん,noise
駄目,だめ,no good
馬鹿,ばか,fool
関係,かんけい,relationship
機会,きかい,opportunity
食糧,しょくりょう,food (esp. staple food such as rice or wheat)
食卓,しょくたく,dining table
教育,きょういく,education
近所,きんじょ,neighbourhood
気に入る,きにいる,to be pleased with
空港,くうこう,airport
順調,じゅんちょう,favourable
経済,けいざい,finance
警察,けいさつ,police
景色,けしき,scene
順番,じゅんばん,turn (in line)
下宿,げしゅく,lodging
原因,げんいん,cause
高等学校,こうとうがっこう,high school
公務員,こうむいん,government worker
国際,こくさい,international

御主人,ごしゅじん,(honorable) your husband
需要,じゅよう,demand
電子,でんし,electron
最近,さいきん,latest
最後,さいご,last
最初,さいしょ,beginning
産業,さんぎょう,industry
残念,ざんねん,disappointment
雰囲気,ふんいき,mood
市民,しみん,citizen
事務所,じむしょ,office
自由,じゆう,freedom
習慣,しゅうかん,customs
住所,じゅうしょ,an address
離婚,りこん,divorce
女性,じょせい,woman
水泳,すいえい,swimming
集団,しゅうだん,group
障害,しょうがい,obstacle
随分,ずいぶん,very
戦争,せんそう,war
祖父,そふ,grandfather
祖母,そぼ,grandmother
男性,だんせい,male
適当,てきとう,suitable
天気予報,てんきよほう,weather forecast
道具,どうぐ,tool
銅貨,どうか,copper coin
途中,とちゅう,on the way
鉄道,てつどう,railroad
目的,もくてき,purpose
重視,じゅうし,importance
郵便,ゆうびん,mail service
部分,ぶぶん,portion
選択,せんたく,selection
道徳,どうとく,morals
逮捕,たいほ,arrest
反対,はんたい,opposition
途端,とたん,just
退屈,たいくつ,tedium
迷惑,めいわく,trouble
美術館,びじゅつかん,art gallery
必要,ひつよう,necessary
輸出,ゆしゅつ,export
輸入,ゆにゅう,import
不便,ふべん,inconvenience
軍隊,ぐんたい,armed forces
文法,ぶんぽう,grammar
身長,しんちょう,height (of body)
返事,へんじ,reply
身体,しんたい,body
贅沢,ぜいたく,luxury
賛成,さんせい,approval
資源,しげん,resources
貴重,きちょう,precious
貯金,ちょきん,putting money aside
販売,はんばい,sales
貢献,こうけん,contribution
予習,よしゅう,preparation for a lesson
予定,よてい,arrangement
予約,よやく,reservation
理由,りゆう,reason
利用,りよう,utilization
両方,りょうほう,both sides
豪華,ごうか,wonderful
不可,ふか,wrong
世紀,せいき,century
主張,しゅちょう,claim
主義,しゅぎ,doctrine
予測,よそく,prediction
予算,よさん,estimate
予防,よぼう,prevention
事態,じたい,situation
交換,こうかん,exchange
人気,にんき,popularity
今後,こんご,from now on
請求,せいきゅう,claim
企業,きぎょう,business
休憩,きゅうけい,rest
休暇,きゅうか,holiday
伝統,でんとう,tradition
調査,ちょうさ,investigation
体温,たいおん,temperature
余分,よぶん,extra
余裕,よゆう,surplus
読書,どくしょ,reading
価値,かち,value
価格,かかく,price
保存,ほぞん,preservation
保証,ほしょう,guarantee
信仰,しんこう,faith
修正,しゅうせい,correction
修理,しゅうり,repairing
俳優,はいゆう,actor
個人,こじん,individual
語学,ごがく,language study
停留所,ていりゅうじょ,bus stop
健康,けんこう,health
優秀,ゆうしゅう,superiority
克服,こくふく,conquest
免許,めんきょ,license
典型,てんけい,type
冒険,ぼうけん,adventure
冗談,じょうだん,jest
分析,ぶんせき,analysis
分野,ぶんや,field
刑事,けいじ,(police) detective
利益,りえき,profit
刺激,しげき,stimulus
加減,かげん,degree
効果,こうか,effect
詩人,しじん,poet
評判,ひょうばん,fame
評価,ひょうか,valuation
証明,しょうめい,proof
協力,きょうりょく,cooperation
診察,しんさつ,medical examination
博物館,はくぶつかん,museum
記憶,きおく,memory
計算,けいさん,calculation
友人,ゆうじん,friend
反抗,はんこう,opposition
収穫,しゅうかく,harvest
可能,かのう,potential
同僚,どうりょう,coworker
名人,めいじん,master
周囲,しゅうい,surroundings
命令,めいれい,order
哲学,てつがく,philosophy
営業,えいぎょう,business
器用,きよう,skilful
回復,かいふく,restoration
団体,だんたい,organization
解釈,かいしゃく,explanation
国語,こくご,national language
親戚,しんせき,relative
地平線,ちへいせん,horizon 
基本,きほん,foundation
覚悟,かくご,resolution
外出,がいしゅつ,going out
大半,たいはん,majority
大抵,たいてい,mostly
大統領,だいとうりょう,president
要素,ようそ,component
大部分,だいぶぶん,most part
奇妙,きみょう,strange
契約,けいやく,contract
奨学金,しょうがくきん,scholarship
女子,じょし,woman
委員,いいん,committee member
宇宙,うちゅう,universe
完了,かんりょう,completion
宗教,しゅうきょう,religion
製造,せいぞう,manufacture
審判,しんぱん,refereeing
専攻,せんこう,major subject
装置,そうち,equipment
裁判,さいばん,trial
衣服,いふく,clothes
就職,しゅうしょく,finding employment
衛星,えいせい,satellite
左右,さゆう,left and right
航空,こうくう,aviation
希望,きぼう,hope
自身,じしん,by oneself
年中,ねんじゅう,whole year
年月,ねんげつ,months and years
自慢,じまん,pride
建設,けんせつ,construction
弁当,べんとう,bento
影響,えいきょう,influence
現象,げんしょう,phenomenon
微妙,びみょう,delicate
徹夜,てつや,all night
考慮,こうりょ,consideration
急激,きゅうげき,sudden
怪我,けが,injury (to animate object)
悪魔,あくま,devil
悲劇,ひげき,tragedy
愉快,ゆかい,pleasant
意志,いし,will
感謝,かんしゃ,thanks
態度,たいど,attitude
成功,せいこう,success
成績,せいせき,results
我慢,がまん,patience
批判,ひはん,judgement
批評,ひひょう,criticism
承知,しょうち,knowledge
義務,ぎむ,duty
投票,とうひょう,voting
抵抗,ていこう,resistance
拍手,はくしゅ,clapping hands
拡大,かくだい,magnification
掃除,そうじ,cleaning
掲示,けいじ,notice
提出,ていしゅつ,to present
提案,ていあん,proposal
握手,あくしゅ,handshake
援助,えんじょ,assistance
状況,じょうきょう,state of affairs (around you)
緊張,きんちょう,tension
気温,きおん,atmospheric temperature
水準,すいじゅん,level
政府,せいふ,government
救助,きゅうじょ,relief
教授,きょうじゅ,professor
整理,せいり,sorting
経営,けいえい,management
歓迎,かんげい,reception
結論,けつろん,conclusion
服装,ふくそう,garments
材料,ざいりょう,ingredients
条件,じょうけん,condition
無料,むりょう,free
無視,むし,disregarding
